Flight Number,Date,Time (UTC),Booster Version,Launch Site,Payload,Payload Mass (kg),Orbit,Customer,Mission Outcome,Landing Outcome
22,2016-03-04,23:35:00,F9 FT B1020,CCAFS LC-40,SES-9,"5,271",GTO,SES,Success,Failure (drone ship)
23,2016-04-08,20:43:00,F9 FT B1021.1,CCAFS LC-40,SpaceX CRS-8,"3,136",LEO (ISS),NASA (CRS),Success,Success  (drone ship)
24,2016-05-06,5:21:00,F9 FT B1022,CCAFS LC-40,JCSAT-14,"4,696",GTO,SKY Perfect JSAT Group,Success,Success (drone ship)
25,2016-05-27,21:39:00,F9 FT B1023.1,CCAFS LC-40,Thaicom 8,"3,100",GTO,Thaicom,Success,Success  (drone ship)
26,2016-06-15,14:29:00,F9 FT B1024,CCAFS LC-40,ABS-2A Eutelsat 117 West B,"3,600",GTO,ABS Eutelsat,Success,Failure  (drone ship)
27,2016-07-18,4:45:00,F9 FT B1025.1,CCAFS LC-40,SpaceX CRS-9,"2,257",LEO (ISS),NASA (CRS),Success,Success (ground pad)
28,2016-08-14,5:26:00,F9 FT B1026,CCAFS LC-40,JCSAT-16,"4,600",GTO,SKY Perfect JSAT Group,Success,Success (drone ship)
29,2017-01-14,17:54:00,F9 FT B1029.1,VAFB SLC-4E,Iridium NEXT 1,"9,600",Polar LEO,Iridium Communications,Success,Success  (drone ship)
30,2017-02-19,14:39:00,F9 FT B1031.1,KSC LC-39A,SpaceX CRS-10,"2,490",LEO (ISS),NASA (CRS),Success,Success (ground pad)
31,2017-03-16,6:00:00,F9 FT B1030,KSC LC-39A,EchoStar 23,"5,600",GTO,EchoStar,Success,No attempt
32,2017-03-30,22:27:00,F9 FT  B1021.2,KSC LC-39A,SES-10,"5,300",GTO,SES,Success,Success (drone ship)
33,2017-05-01,11:15:00,F9 FT B1032.1,KSC LC-39A,NROL-76,Classified,LEO,NRO,Success,Success (ground pad)
34,2017-05-15,23:21:00,F9 FT B1034,KSC LC-39A,Inmarsat-5 F4,"6,070",GTO,Inmarsat,Success,No attempt
35,2017-06-03,21:07:00,F9 FT B1035.1,KSC LC-39A,SpaceX CRS-11,"2,708",LEO (ISS),NASA (CRS),Success,Success (ground pad)
36,2017-06-23,19:10:00,F9 FT  B1029.2,KSC LC-39A,BulgariaSat-1,"3,669",GTO,Bulsatcom,Success,Success (drone ship)
37,2017-06-25,20:25:00,F9 FT B1036.1,VAFB SLC-4E,Iridium NEXT 2,"9,600",LEO,Iridium Communications,Success,Success (drone ship)
38,2017-07-05,23:38:00,F9 FT B1037,KSC LC-39A,Intelsat 35e,"6,761",GTO,Intelsat,Success,No attempt
39,2017-08-14,16:31:00,F9 B4 B1039.1,KSC LC-39A,SpaceX CRS-12,"3,310",LEO (ISS),NASA (CRS),Success,Success (ground pad)
40,2017-08-24,18:51:00,F9 FT B1038.1,VAFB SLC-4E,Formosat-5,475,SSO,NSPO,Success,Success (drone ship)
41,2017-09-07,14:00:00,F9 B4 B1040.1,KSC LC-39A,Boeing X-37B OTV-5,"4,990",LEO,U.S. Air Force,Success,Success (ground pad)
42,2017-10-09,12:37:00,F9 B4 B1041.1,VAFB SLC-4E,Iridium NEXT 3,"9,600",Polar LEO,Iridium Communications,Success,Success (drone ship)
43,2017-10-11,22:53:00,F9 FT  B1031.2,KSC LC-39A,SES-11 / EchoStar 105,"5,200",GTO,SES EchoStar,Success,Success (drone ship)
44,2017-10-30,19:34:00,F9 B4 B1042.1,KSC LC-39A,Koreasat 5A,"3,500",GTO,KT Corporation,Success,Success (drone ship)
45,2017-12-15,15:36:00,F9 FT  B1035.2,CCAFS SLC-40,SpaceX CRS-13,"2,205",LEO (ISS),NASA (CRS),Success,Success (ground pad)
46,2017-12-23,1:27:00,F9 FT  B1036.2,VAFB SLC-4E,Iridium NEXT 4,"9,600",Polar LEO,Iridium Communications,Success,Controlled (ocean)
47,2018-01-08,1:00:00,F9 B4 B1043.1,CCAFS SLC-40,Zuma,Classified,LEO,Northrop Grumman,Success  (payload status unclear),Success (ground pad)
48,2018-01-31,21:25:00,F9 FT  B1032.2,CCAFS SLC-40,GovSat-1 / SES-16,"4,230",GTO,SES,Success,Controlled (ocean)
FH 1,2018-02-06,20:45:00,"B1023.2  (side) , Heavy core B1033, B1025.2 (side)",KSC LC-39A,Elon Musk's Tesla Roadster,"~1,250",Heliocentric 0.99–1.67 AU  (close to Mars transfer orbit),SpaceX,Success,"Success (ground pad), Failure (drone ship), Success (ground pad)"
49,2018-02-22,14:17:00,F9 FT  B1038.2,VAFB SLC-4E,Paz  Tintin A & B,"2,150",SSO,Hisdesat exactEarth SpaceX,Success,No attempt
50,2018-03-06,5:33:00,F9 B4 B1044,CCAFS SLC-40,Hispasat 30W-6  PODSat,"6,092",GTO,Hispasat  NovaWurks,Success,No attempt
51,2018-03-30,14:14:00,F9 B4  B1041.2,VAFB SLC-4E,Iridium NEXT 5,"9,600",Polar LEO,Iridium Communications,Success,No attempt
52,2018-04-02,20:30:00,F9 B4  B1039.2,CCAFS SLC-40,SpaceX CRS-14,"2,647",LEO (ISS),NASA (CRS),Success,No attempt
53,2018-04-18,22:51:00,F9 B4 B1045.1,CCAFS SLC-40,Transiting Exoplanet Survey Satellite (TESS),362,HEO,NASA (LSP),Success,Success (drone ship)
54,2018-05-11,20:14:00,F9 B5  B1046.1,KSC LC-39A,Bangabandhu-1,"3,600",GTO,Thales-Alenia/BTRC,Success,Success (drone ship)
55,2018-05-22,19:47:58,F9 B4  B1043.2,VAFB SLC-4E,"Iridium NEXT 6   GRACE-FO 1, 2","6,460",Polar LEO,Iridium Communications GFZ • NASA,Success,No attempt
56,2018-06-04,4:45:00,F9 B4  B1040.2,CCAFS SLC-40,SES-12,"5,384",GTO,SES,Success,No attempt


//check flight number 
57 06/29/18 Falcon 9 v1.2  Dragon 11.2/CRS 15   ~8.175 CC 40  227x387x51.64   LEO/ISS[53]
58 07/22/18 Falcon 9 v1.2  Telstar 19V           7.075 CC 40  243x17863x27    GTO-[54]
59 07/25/18 Falcon 9 v1.2  Iridium NEXT 7        8.6   VA 4E  600x625x86.7    LEO [55]
60 08/07/18 Falcon 9 v1.2  Merah Putih           5.8   CC 40  193x29503x27    GTO-[56]
61 09/10/18 Falcon 9 v1.2  Telstar 18V           7.06  CC 40  259x18060x26.95 GTO-[57]
62 10/08/18 Falcon 9 v1.2  SAOCOM 1A             3.0   VA 4E  616x635x97.9    LEO/S[58] 
63 11/15/18 Falcon 9 v1.2  Es'hail 2            ~5.3   KC 39A 201x37866x25    GTO [59]
64 12/03/18 Falcon 9 v1.2  Spaceflight SSO-     ~4.0   VA 4E  573x589x97.8    LEO/S[60]
65 12/05/18 Falcon 9 v1.2  CRS-16/Dragon 12.2   ~8.039 CC 40  204x358x51.6    LEO/ISS[61]
66 12/23/18 Falcon 9 v1.2  GPS 3-1               4.4   CC 40  1200x20200x55   MTO [62]
68 01/11/19 Falcon 9 v1.2  Iridium NEXT 8        8.6   VA 4E  600x625x86.7    LEO [63]
70 02/22/19 Falcon 9 v1.2  Nusantara Satu+usats  4.85  CC 40  260x69036x27.55 GTO+[64]
69 03/02/19 Falcon 9 v1.2  DM-1/Crew Dragon    ~12.5   KC 39A 194x358x51.6    LEO/ISS[65]
71 05/04/19 Falcon 9 v1.2  CRS-17/Dragon 13.2   ~8.0   CC 40  200x360x51.6    LEO/ISS[66]
72 05/24/19 Falcon 9 v1.2  Starlink 0.9 (60 ea) 13.608 CC 40  440x440x53      LEO[67]
73 06/12/19 Falcon 9 v1.2  RCM                   4.29  VA 4E  600x600x97.74   LEO/S[68]
74 07/25/19 Falcon 9 v1.2  CRS-18/Dragon 8.3    ~7.831 CC 40  200x360x51.6    LEO/ISS[69]
75 08/06/19 Falcon 9 v1.2  AMOS 17               6.5   CC 40  221x35750x26.1  GTO [70]
76 11/11/19 Falcon 9 v1.2  Starlink 1 (60 sat)  15.60  CC 40  280x280x53      LEO[71]
77 12/05/19 Falcon 9 v1.2  CRS-19/Dragon 6.3    ~7.804 CC 40  200x360x51.6    LEO/ISS[72]
78 12/17/19 Falcon 9 v1.2  JCSat 18/Kacific 1    6.956 CC 40  273x20324x26.9  GTO- [73]
79 01/07/20 Falcon 9 v1.2  Starlink 1 F2        15.6   CC 40  290x290x53      LEO [74]
80 01/19/20 Falcon 9 v1.2  IFA/Crew Dragon 2   ~12.5   KC 39A                 SUB [75]
81 01/29/20 Falcon 9 v1.2  Starlink 1 F3        15.6   CC 40  290x290x53      LEO [76]
82 02/17/20 Falcon 9 v1.2  Starlink 1 F4        15.6   CC 40  216x386x53      LEO [77]
